ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=2c282ae7cf933e8c,(주)이랜서 웹 개발자 인재 초대 (정규직/본사근무),이랜서 서울 강남구,,"CSS3)가능 - 커뮤니케이션 우수자 우대조건 - Python 가능자 - Java기반 웹 기술 보유( Spring, JSP등) - iOS, Android 개발 경험자 - 웹 접근성 / 반응형 웹 경험자 - IT 관련학과 출신..."
https://kr.indeed.com/viewjob?jk=9131e46dace78965,Software Engineer (Blockchain Platform B...,LINE Plus corporation 성남 서현역,,"Java 또는 Kotlin 언어에 능숙하고, Java Framework 기반 개발에 능숙한 분 - Spring 라이브러리를 프로젝트에 사용한 경험이 있으신 분 - Linux 환경하에 개발, 시스템 운영에 익숙한 분..."
https://kr.indeed.com/viewjob?jk=e290724a4ccb433a,파생상품 거래소 백엔드 개발자,알투브이 서울 영등포구,,"학력/전공 무관 • 애플리케이션 개발, 운영 경험자로서 실무 3년차 이상 또는 그에 준하는 역량 보유자 • Spring 프레임워크를 이용한 Batch Application 개발 경험 • 동시성 프로그래밍에 대한 기본적인 이해..."
https://kr.indeed.com/viewjob?jk=11560afed26d9fc2,PG System Developer (Server),Toss 서울 강남구,,결제시스템 유지보수 및 고도화 - 대용량 거래처리 및 결제시스템 고도화 및 자동화 개발 # 자격 요건 - Spring Framework 기반의 서비스 개발 경험이 있는 분 - PG 결제시스템을 개발하고 운영해본 경험이 있는...
https://kr.indeed.com/viewjob?jk=6a49ea76da8d2265,"서버개발자(주니어, 시니어)",넥스트매치 서울 서초구,,"서버개발자(주니어, 시니어) - Ruby on Rails 개발자 - PHP/CodeIgniter 개발자 - Java Spring 개발자 - AWS 서비스 운영 경험자 - MySQL, Postgre, Redis 경험자 Nextmatch..."
https://kr.indeed.com/viewjob?jk=a1d4ca2102fb8414,웹개발 CTI 솔루션 엔지니어 Network Management Syst...,IoT 통합 플랫폼 / 무인경지 관제 솔루션 / 위치관제 솔루션 / 헬스케어 솔루션 / 컨... 서울 구로구,,"SI 구축 웹 개발 - 근무지 : 서울 전역 - 자바 기반 프레임워크( spring, myBatis) 경험자 - 모집 인원 : 5 인 - 경력 : 4... 연동 • 지원자격 - Java & Spring framework 환경 기반..."
https://kr.indeed.com/viewjob?jk=a0189433794de62c,[NAVERxLINE] Global Ad Web/Backend Engin...,네이버 서울,,"용량 트래픽을 가진 서비스를 직접 운영하는 경험 · 다양한 기 술( Spring, JS, Go, Kotlin, Scala, Spark, Redis 등... 용에 대한 경험이 풍부하신 분 - Spring Framework 을 이용한..."
https://kr.indeed.com/viewjob?jk=5352cf066e6ae2cc,여행 좋아하는 경력직(4년 이상) 개발자,메리홀리데이 서울 강남구,,"원활한 소통은 필수입니다. [어떤 사람을 우대하나요?] · 스타트업 경험자 · Node.js, JAVA/ Spring Framework 등 백엔드 개발 경험자 · iOS 또는 하이브리드 앱개발 경험자 (xcode, swift..."
https://kr.indeed.com/viewjob?jk=4cc84af7e309b14f,[세종시소재] 정보보호 소프트웨어 개발/보안컨설팅 수행인력,시큐리티캠프 대한민국,"연봉 28,000,000원 - 30,000,000원","이해도가 높은 분 - 반응형 웹 디자인 경험을 보유하신 분 Back-end 개발자 - Spring Framework 또는 Spring Boot를 이용한 서비스 개발 경험을 보유하신 분 [우대 사항] - AWS, Azure..."
https://kr.indeed.com/viewjob?jk=516001554380a268,11번가 가격비교 서비스 Tool 개발 분야,십일번가 서울 강남구,,"입사 직무 키워드 java, spring, JPA, python 담당 직무... 용성 개선 - 지속적인 서비스 구조 개선 자격 요건 - Java & Spring Framework 기반 웹서비스 개발 경험 3년 이상 - RDB 이용..."
